customer_raw,customer_short,state,sales_region,sku_count
TONY'S FINE FOODS 3575 REED AVENUE - P.O. BOX 1501 WEST SACRAMENTO CA,TONY'S FINE FOODS,CALIFORNIA,SOUTH WEST,3
MUSCO FOOD CORP 57-01 49 TH PLACE MASPETH NY,MUSCO FOOD CORP 57-01,NEW YORK - USA,NORTHEAST,1
"TAMA TRADING COMPANY, INC 1920 EAST 20TH STREET LOS ANGELES CA","TAMA TRADING COMPANY, INC",CALIFORNIA,NORTHWEST,12
"A&T ITALIAN FOODS, INC 7400 SCOUT AVENUE BELL GARDENS CA","A&T ITALIAN FOODS, INC",CALIFORNIA,NORTHWEST,12
LETTIERI & CO. LTD 120 PARK LANE BRISBANE CA,LETTIERI & CO. LTD,CALIFORNIA,NORTHEAST,11
DI PALO FINE FOODS 200 GRAND STREET NEW YORK NY,DI PALO FINE FOODS,NEW YORK - USA,NORTHEAST,33
GLOBAL FOOD SERVICES INC. 4 DUNDEE AVENUE PATERSON NJ,GLOBAL FOOD SERVICES INC.,NEW JERSEY - USA,NORTHEAST,21
SELECTED FOOD & BEVERAGE 7207 B WYNNWOOD LN HOUSTON TX,SELECTED FOOD & BEVERAGE,TEXAS,SOUTH,35
"PDI PERISHABLE DISTRIBUTORS OF IOWA, LTD 2741 PDI PLACE ANKENY IA","PDI PERISHABLE DISTRIBUTORS OF IOWA, LTD",IOWA,MIDWEST,3
JVM SALES 3401A TREMLEY POINT ROAD LINDEN NJ,JVM SALES 3401A TREMLEY POINT ROAD LINDEN NJ,NEW JERSEY - USA,NORTHEAST,1
BOTTICELLI FOODS 59 MALL DRIVE COMMACK NY,BOTTICELLI FOODS,NEW YORK - USA,NORTHEAST,1
ALTOMONTE DOYLESTOWN LLC 856 N. EASTON ROAD DOYLESTOWN PA,ALTOMONTE DOYLESTOWN LLC,PENNSYLVANIA,NORTH EAST,16
"DETWILER'S FARM MARKET, INC 7425 16TH STREET E. STE 101 SARASOTA FL","DETWILER'S FARM MARKET, INC",FLORIDA,SOUTH,8
"FLORIDA VEG INVEST LLC DBA MR GREEN 2450 NW 116TH STREET, BUILDING 1 FLORIDA FL",FLORIDA VEG INVEST LLC DBA MR GREEN,FLORIDA,SOUTH,8
