Priority,Item code,Product,Category,Pack,EXW $/lb,Availability,Image status,Current size,Received? (Y/N),New Cloudinary link
P1,04165,Lagorai Cheese,Alpine & Specialty,"7 oz Exact Weight Wedges, ATM",on request,unavailable,MISSING,—,,
P1,40086,Montasio Cheese DOP,Alpine & Specialty,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,MISSING,—,,
P1,03044,Asiago Stagionato DOP,Asiago,"7 oz Exact Weight Wedges, ATM",on request,unavailable,MISSING,—,,
P1,03047,Asiago Vecchio DOP,Asiago,"7 oz Exact Weight Wedges, ATM",on request,unavailable,MISSING,—,,
P1,05050,Grana Padano,Grana Padano,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,MISSING,—,,
P1,05099,Parmigiano Reggiano PDO,Parmigiano,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,MISSING,—,,
P1,40162,Pecorino Romano DOP,Pecorino & Sheep,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,MISSING,—,,
P1,01101,Sharp Provolone,Provolone,"7 oz Exact Weight Wedges, ATM",on request,unavailable,MISSING,—,,
P1,01174,Naturally Smoked Provolone,Provolone,"7 oz Exact Weight Wedges, vacuum packed",on request,unavailable,MISSING,—,,
P2,04168,Fontal Trentinella,Alpine & Specialty,"1/4 Wheel, vacuum packed",$6.73,in_stock,MISSING,—,,
P2,20464,Alta Badia Cheese,Alpine & Specialty,Whole Wheels approx 18 lbs vacuum packed,$11.61,in_stock,MISSING,—,,
P2,20511,Fontal Trentinella,Alpine & Specialty,"FONTAL EU 1/4 Wheel, vacuum pack",$5.05,in_stock,MISSING,—,,
P2,20519,Gorgonzola DOP Mild,Alpine & Specialty,1/8 Wheels approx 4 lbs vacuum packed,$6.81,in_stock,MISSING,—,,
P2,20520,Taleggio DOP,Alpine & Specialty,"Whole Wheels approx 4,4 lbs vacuum packed",$6.95,in_stock,MISSING,—,,
P2,20569,Bianco Duro d'Italia,Alpine & Specialty,"Italian hard cheese 1/4 wheels, vacuum packed",$7.1,in_stock,MISSING,—,,
P2,20584,Stelvio Cheese DOP,Alpine & Specialty,Whole Wheels approx 18 lbs vacuum packed,$9.5,in_stock,MISSING,—,,
P2,40020,Montasio Cheese DOP,Alpine & Specialty,"Whole Wheel, 16-18 lbs",$7.33,in_stock,MISSING,—,,
P2,40130,Montasio Cheese DOP,Alpine & Specialty,"1/4 Wheel, vacuum packed",$7.49,in_stock,MISSING,—,,
P2,40158,Piave Cheese DOP,Alpine & Specialty,AGED MORE THAN 12 MONTHS Whole Wheels approx 11 lbs vacuum packed,$9.75,in_stock,MISSING,—,,
P2,02302,Asiago Fresco DOP,Asiago,SQUARE SHAPE FOR SLICING,$6.2,in_stock,MISSING,—,,
P2,03014,Asiago Vecchio DOP,Asiago,"1/4 Wheel, vacuum packed",$8.16,in_stock,MISSING,—,,
P2,20142,Caciotta (Basket Rind),Caciotta,BLACK PEPPER (with black peppers) 6 lb,$5.98,in_stock,MISSING,—,,
