file,public_id,format,bytes,secure_url
asiago-dop-famiglia.webp,monti-trentini/library/asiago-dop-famiglia,webp,124452,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571892/monti-trentini/library/asiago-dop-famiglia.webp
caciotte-famiglia.webp,monti-trentini/library/caciotte-famiglia,webp,48388,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571893/monti-trentini/library/caciotte-famiglia.webp
granapadanodop-famiglia.webp,monti-trentini/library/granapadano-dop-famiglia,webp,99622,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571894/monti-trentini/library/granapadano-dop-famiglia.webp
provolone-valpadana-dop-famiglia.webp,monti-trentini/library/provolone-valpadana-dop-famiglia,webp,40014,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571894/monti-trentini/library/provolone-valpadana-dop-famiglia.webp
pastafilata-famiglia.webp,monti-trentini/library/pastafilata-famiglia,webp,26136,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571895/monti-trentini/library/pastafilata-famiglia.webp
specialita-trentine-famiglia.webp,monti-trentini/library/specialita-trentine-famiglia,webp,140522,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571896/monti-trentini/library/specialita-trentine-famiglia.webp
montitrentini-mainbanner.webp,monti-trentini/library/montitrentini-mainbanner,webp,304004,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571896/monti-trentini/library/montitrentini-mainbanner.webp
mucche-alpeggio.webp,monti-trentini/library/mucche-alpeggio,webp,124482,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571897/monti-trentini/library/mucche-alpeggio.webp
mucca.png,monti-trentini/library/mucca,png,685222,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571898/monti-trentini/library/mucca.png
prato-fiorito.webp,monti-trentini/library/prato-fiorito,webp,154812,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571899/monti-trentini/library/prato-fiorito.webp
bosco.webp,monti-trentini/library/bosco,webp,390758,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571900/monti-trentini/library/bosco.webp
montagne.png,monti-trentini/library/montagne,png,4869550,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571901/monti-trentini/library/montagne.png
nuvole.png,monti-trentini/library/nuvole,png,216972,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571902/monti-trentini/library/nuvole.png
bk-cielo.jpg,monti-trentini/library/bk-cielo,jpg,342839,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571903/monti-trentini/library/bk-cielo.jpg
lavorazione-formaggio.webp,monti-trentini/library/lavorazione-formaggio,webp,277822,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571903/monti-trentini/library/lavorazione-formaggio.webp
storica-trasporto-latte.webp,monti-trentini/library/storica-trasporto-latte,webp,349298,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571905/monti-trentini/library/storica-trasporto-latte.webp
casa-finco.svg,monti-trentini/library/casa-finco-mark,svg,11337,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571905/monti-trentini/library/casa-finco-mark.svg
facebook-icon.svg,monti-trentini/library/icon-facebook,svg,321,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571907/monti-trentini/library/icon-facebook.svg
instagram-icon.svg,monti-trentini/library/icon-instagram,svg,797,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571909/monti-trentini/library/icon-instagram.svg
btn-bg-beige.svg,monti-trentini/library/btn-bg-beige,svg,483,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571910/monti-trentini/library/btn-bg-beige.svg
btn-bg-green.svg,monti-trentini/library/btn-bg-green,svg,483,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571912/monti-trentini/library/btn-bg-green.svg
label-bg.svg,monti-trentini/library/label-bg,svg,427,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571915/monti-trentini/library/label-bg.svg
mask.svg,monti-trentini/library/mask-shape,svg,302,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571918/monti-trentini/library/mask-shape.svg
decoro-fiore-bianco.webp,monti-trentini/library/decoro-fiore-bianco,webp,9802,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571921/monti-trentini/library/decoro-fiore-bianco.webp
decoro-fiore-giallo.webp,monti-trentini/library/decoro-fiore-giallo,webp,6310,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571922/monti-trentini/library/decoro-fiore-giallo.webp
texture-menu.png,monti-trentini/library/texture-menu,png,154484,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571922/monti-trentini/library/texture-menu.png
texture-prefooter.png,monti-trentini/library/texture-prefooter,png,522623,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571923/monti-trentini/library/texture-prefooter.png
texture-block-text-image.jpg,monti-trentini/library/texture-block,jpg,67230,,https://res.cloudinary.com/sofcvmwa/image/upload/v1781571924/monti-trentini/library/texture-block.jpg
