Company,Channel,Status,City,State,Zip,Phone,Contact,Email
Ashley Market,Specialty grocer,Customer,South Orange,NJ,,973-762-5200,Memet (mgr); Romero (cheese mgr),
Aspen Market,Specialty grocer,Customer,Hoboken,NJ,,201-659-0355,Goodman (store mgr),
Azure Grocery,Specialty grocer,Customer,Brooklyn,NY,,718-599-7887,Henna (perishable buyer),
Cardona's Market Inc,Specialty grocer,Customer,Albany,NY,,518-434-4838,,
Rosario's Deli Inc,Specialty grocer,Customer,Astoria,NY,,718-728-2920,,
Benz's Gourmet,Specialty grocer,Customer,Brooklyn,NY,,718-778-3329,,
Bedford Cheese Shop,Specialty grocer,Prospect,Brooklyn,NY,11201,718-599-7588,Charlotte (cheese buyer),
Bierkraft,Restaurant-chef,Prospect,Brooklyn,NY,11217,718-230-7600,,
Blue Apron,Specialty grocer,Customer,Brooklyn,NY,11215,718-230-3180,Ted / Jay,blueappron2002@yahoo.com
Bob & Bettys,Specialty grocer,Prospect,Brooklyn,NY,,718-778-4542,,
Brighton Bazaar,Specialty grocer,Prospect,Brooklyn,NY,11557,718-769-1700,,
Brooklyn Fare,Specialty grocer,Customer,Brooklyn,NY,,917-750-1055,Karim (cheese buyer); Jennifer (office),
Brooklyn Kitchen / Meat Hook,Specialty grocer,Prospect,Brooklyn,NY,11211,718-349-5033,,
Brooklyn Larder LLC,Specialty grocer,Prospect,Brooklyn,NY,11217,718-783-1250,,
Brooklyn Market of Third Ave,Specialty grocer,Prospect,Brooklyn,NY,11209,917-239-3700,Peter Boniva (owner),
Brooklyn Standard Deli,Specialty grocer,Prospect,Brooklyn,NY,,718-472-2150,Mubara,
Brooklyn's Natural Co,Specialty grocer,Customer,Brooklyn,NY,,718-381-2483,,
Brookvin,Restaurant-chef,Prospect,Brooklyn,NY,11215,718-768-9463,,
Brothers Italian Food,Specialty grocer,Customer,Howard Beach,NY,,718-835-7508,,
Caputo Fine Foods,Specialty grocer,Customer,Brooklyn,NY,,718-855-8852,,
Casellula Cheese & Wine Cafe,Restaurant-chef,Prospect,New York,NY,10019,212-247-8137,,
Cheese On 62nd Street,Specialty grocer,Customer,New York,NY,,212-980-5544,Ancis,ancis22@aol.com
Choice Green,Specialty grocer,Customer,Brooklyn,NY,,718-230-1243,,
Cobblestone Foods,Specialty grocer,Prospect,Brooklyn,NY,11201,718-222-1661,,
Commodities Natural Market,Specialty grocer,Prospect,New York,NY,10003,212-260-2600,,
