,,,,,, ,,Updated on:,25 June 2026 12:05,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avai,Exp Date
01032,SHARP PROVOLONE (HALF CYLINDER),83,,,,only Cowbell and Dekalb order that item ,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1282616,03/23/2026,10,,,63.531,02/19/2027
01034,SMOKED PROVOLONE 4.4 LBS,0,,,,only for SK Food when ordered,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1296192,05/15/2026,60,,,376.71,04/15/2027
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,120,,,796.56,03/22/2027
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1287527,04/10/2026,7,,,57.421,11/28/2026
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,60,,,464.73,12/16/2026
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1290731,04/24/2026,60,60,TJ 7/8,1680,03/22/2027
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1290744,04/24/2026,60,60,TJ 7/8,1680,03/22/2027
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1290747,04/24/2026,60,60,TJ 7/9,1680,03/22/2027
01186,SMOKED PROVOLONE CYLINDER,72,,,,we try to have 1 pallet available in stock. Veroni-Creminelli preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1290748,04/24/2026,60,60,TJ 7/13,1680,03/22/2027
01190,PROVOLONE MILD CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1290763,04/24/2026,60,60,TJ 7/13,1680,03/22/2027
01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,10,,,,"only for Cheese Importers, was the first order good?  He needs more?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296195,05/15/2026,60,60,TJ 7/15,1680,04/04/2027
01299,MILD PROVOLONE STICK,0,,,,Levoni preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296204,05/15/2026,60,60,TJ 7/15,1680,04/15/2027
02005,ASIAGO FRESCO PDO WHOLE WHEEL,24,,,,"main customer Alma, do we have < 33?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296209,05/15/2026,60,60,TJ 7/15,1680,04/15/2027
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,586,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296212,05/15/2026,60,60,TJ 7/20,1680,04/15/2027
02091,ASIAGO FRESCO PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304216,06/18/2026,60,60,TK 7/20,1680,05/05/2027
02206,MOUNTAIN ASIAGO FRESCO PDO WW,60,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304222,06/18/2026,60,60,TJ 7/22,"1,680.00",05/05/2027
02302,ASIAGO FRESCO PDO SQUARE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304229,06/18/2026,60,60,TJ 7/22,"1,680.00",05/05/2027
03003,ASIAGO VECCHIO PDO WHOLE WHEEL,30,,,,"De Kalb 30 per month, next container if we go down <30",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304230,06/18/2026,60,60,TJ 7/23 (1 of 2),"1,680.00",05/05/2027
03010,ASIAGO AGED 1/4 WHEEL,0,,,,ACE Endico? DeKalb?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1304236,06/18/2026,60,60,TJ 7/23 (2 of 2),"1,680.00",05/05/2027
03014,ASIAGO VECCHIO PDO 1/4 WHEEL,30,,,,"Selected, <24?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1296207,05/15/2026,60,60,TJ 7/27,"1,680.00",05/29/2027
03023,ASIAGO AGED WHOLE WHEEL,54,,,,"occasionally DeKalb, as long as we are >20, no thanks",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 7/2,60,60,TJ 7/29,"1,589.84",May-27
03044,ASIAGO AGED PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 7/2,60,60,TJ 8/3,"1,488.98",May-27
03073,AGED ASIAGO VECCHIO 9 MESI 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 7/2,60,60,TJ 8/5,"1,582.89",May-27
03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 7/2,60,60,TJ 8/6,"1,530.92",May-27
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),21,,,,monitor <60?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 7/2,60,60,TJ 8/12,"1,565.94",May-27
04046,VEZZENA AGED 1/4 WHEEL,31,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 7/2,60,60,TJ 8/12,"1,576.03",May-27
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734702,ETA 7/2,60,60,TJ 8/12,"1,558.38",May-27
04145,LAGORAI CHEESE 1/4 WHEEL,23,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269734703,ETA 7/2,60,660,"TJ  8/19, 8/26 (+9 more)","1,526.65",May-27
04154,LAGORAI CHEESE WHOLE WHEEL,6,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20228,CACIOTTA HERBS 6 LBS,1282618,03/23/2026,10,,,64.357,02/19/2027
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20228,CACIOTTA HERBS 6 LBS,1290743,04/24/2026,60,,,379.76,03/22/2027
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20229,"CACIOTTA HERBS 1,2 LBS",269618415,ETA 7/2,30,,CowBell monthly plan?,256.57,Feb-27
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),0,,,,KeHE + Olio&Olive + HEB,,20423,CACIOTTA BLACK TRUFFLES 7 OZ EW,1282636,03/23/2026,111,111,HEB 57X292991,586.08,10/22/2026
04181,VEZZENA CHEESE AGED WHOLE WHEEL,24,,,,CowBell 5x per monthly plan,,20424,CACIOTTA CHILI RED PEPPER 7 OZ EW,1282629,03/23/2026,68,,,359.04,10/22/2026
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20438,PROVOLONE CYLINDER CHEESE,1206510,06/13/2025,38,,,572.643,01/15/2026
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,not interesting for the stock,,20438,PROVOLONE CYLINDER CHEESE,1206511,06/13/2025,72,,,1086.98,01/15/2026
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock,,20480,CACIOTTA MNT HERBS 7 OZ EW,1270351,02/04/2026,23,,,121.44,09/08/2026
04211,ALPEGGIO CHEESE 7 OZ EW,0,,,,no ongoing projects,,20480,CACIOTTA MNT HERBS 7 OZ EW,1280644,03/16/2026,144,,,760.32,09/27/2026
