,,,,,, ,,Updated on:,9/17/2026 10:51,,,,,,,,
Item,Description,Cases Available,Suggested Quantity USA,Suggested Quantity ITA,Confirmed Quantity,Comments,,Item,Description,Lot#,Receipt Date,Cs Avail,Reserved,Comments,Net Avail,Exp Date,
01032,SHARP PROVOLONE (HALF CYLINDER),33,,,,"only Cowbell and Dekalb, Cheese Imp order that item ",,20150,CACIOTTA BLACK TRUFFLES 6 LBS,1290750,04/24/2026,90,,,597.42,03/22/2027,
01034,SMOKED PROVOLONE 4.4 LBS,281,,,,only for SK Food when ordered,,20162,CACIOTTA BLACK TRUFFLE 1.2 LBS,1296193,05/15/2026,47,,,364.04,12/16/2026,
01021,PROVOLONE PAN DI CACIO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1328690,09/24/2026,60,60,TJs,"1,680.00",08/20/2027,
01101,PROVOLONE SHARP CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1328691,09/24/2026,60,60,TJs,"1,680.00",08/20/2027,
01126,SHARP PROVOLONE WITH ROPE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1328695,09/24/2026,60,60,TJs,"1,680.00",08/20/2027,
01154,MILD PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1328688,09/24/2026,60,60,TJs,"1,680.00",08/16/2027,
01155,SMOKED PROVOLONE FIASCHETTO,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1328697,09/24/2026,60,60,TJs,"1,680.00",08/16/2027,
01174,SMOKED PROVOLONE 7 OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324227,09/04/2026,60,60,TJs,"1,680.00",08/06/2027,
01186,SMOKED PROVOLONE CYLINDER,0,,,,we try to have 1 pallet available in stock. Veroni-Creminelli preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324230,09/04/2026,60,60,TJs,"1,680.00",08/06/2027,
01190,PROVOLONE MILD CHEESE 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324238,09/04/2026,60,60,TJs,"1,680.00",08/06/2027,
01269,PROVOLONE PICCANTE WITH TRICOLORE ROPE,10,,,,Cheese Importers and Dekalb01269,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324239,09/04/2026,60,60,TJs,"1,680.00",08/06/2027,
01299,MILD PROVOLONE STICK,0,,,,Levoni preorder,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324235,09/04/2026,60,60,TJs,"1,680.00",08/05/2027,
02005,ASIAGO FRESCO PDO WHOLE WHEEL,10,,,,"main customer Alma, do we have < 33?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324236,09/04/2026,60,60,TJs,"1,680.00",08/05/2027,
02073,ASIAGO FRESCO PDO 1/4 WHEEL NT,386,,,,"Cowbell monthly plan 50x, average purchase TONY 10x, ACE Endico sometimes, Baldor 108x",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324237,09/04/2026,60,60,TJs,"1,680.00",08/02/2027,
02091,ASIAGO FRESCO PDO 7 OZ EW,14,,,,always 5-10 cases/month available per Lettieri,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324252,09/04/2026,60,60,TJs,"1,680.00",08/02/2027,
02206,MOUNTAIN ASIAGO FRESCO PDO WW,52,,,,3x CowBell monthly plan?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324255,09/04/2026,60,60,TJs,"1,680.00",08/02/2027,
02302,ASIAGO FRESCO PDO SQUARE,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324233,09/04/2026,60,60,TJs,"1,680.00",07/31/2027,
03003,ASIAGO VECCHIO PDO WHOLE WHEEL,0,,,,"De Kalb 30 per month, next container if we go down <30",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324245,09/04/2026,60,60,TJs,"1,680.00",07/31/2027,
03010,ASIAGO AGED 1/4 WHEEL,0,,,,ACE Endico? DeKalb?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1324254,09/04/2026,60,60,TJs,"1,680.00",07/31/2027,
03014,ASIAGO VECCHIO PDO 1/4 WHEEL,34,,,,"Selected, <24?",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322648,09/01/2026,60,60,TJs,"1,680.00",07/30/2027,
03023,ASIAGO AGED WHOLE WHEEL,15,,,,"occasionally DeKalb, as long as we are >20, no thanks",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322654,09/01/2026,60,60,TJs,"1,680.00",07/30/2027,
03044,ASIAGO AGED PDO 7 OZ EW,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322639,09/01/2026,60,60,TJs,"1,680.00",07/24/2027,
03073,AGED ASIAGO VECCHIO 9 MESI 7OZ,0,,,,we don't have project right now,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322649,09/01/2026,60,60,TJs,"1,680.00",07/24/2027,
03057,ASIAGO STAGIONATO DELLA MONTAGNA,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322635,09/01/2026,60,60,TJs,"1,680.00",07/23/2027,
04028,DRUNKEN CHEESE WHOLE WHEEL (IMBRIAGO),37,,,,monitor <30?,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322636,09/01/2026,60,60,TJs,"1,680.00",07/23/2027,
04046,VEZZENA AGED 1/4 WHEEL,19,,,,Selected - Tama - ACE ENDICO,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322640,09/01/2026,60,60,TJs,"1,680.00",07/23/2027,
04067,FONTAL CHEESE WHOLE WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,1322653,09/01/2026,60,60,TJs,"1,680.00",07/23/2027,
04145,LAGORAI CHEESE 1/4 WHEEL,5,,,,Lettieri doesn't order much,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381402,ETA 10/08,60,60,TJs,"1,437.10",Sep-27,
04154,LAGORAI CHEESE WHOLE WHEEL,5,,,,"It doesn't sell much, Cowbell buys a little bit, <8",,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381402,ETA 10/08,60,60,TJs,"1,488.20",Sep-27,
04165,LAGORAI CHEESE 7 OZ EW,0,,,,no sales at the moment,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381402,ETA 10/08,60,60,TJs,"1,423.35",Sep-27,
04168,FONTAL CHEESE 1/4 WHEEL,0,,,,not interesting for the stock,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381402,ETA 10/08,60,60,TJs,"1,478.75",Sep-27,
04176,DRUNKEN CHEESE 7 OZ EW (IMBRIAGO),342,,,,KeHE + Olio&Olive + HEB,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381402,ETA 10/08,60,,,"1,442.97",Sep-27,
04181,VEZZENA CHEESE AGED WHOLE WHEEL,14,,,,CowBell 5x per monthly plan,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381401,ETA 10/08,60,,,"1,427.77",Sep-27,
04182,VEZZENA CHEESE 7 OZ EW,0,,,,no ongoing projects,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381401,ETA 10/08,60,,,"1,492.08",Sep-27,
04197,DRUNKEN AGED CHEESE (IMBRIAGO) WHOLE WHEEL,0,,,,replaced with 04028,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381401,ETA 10/08,60,,,"1,486.13",Sep-27,
04208,DRUNKEN AGED CHEESE (IMBRIAGO) 1/4 WHEEL,0,,,,not interesting for the stock 2024,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381401,ETA 10/08,60,,,"1,549.35",Sep-27,
04211,ALPEGGIO CHEESE 7 OZ EW,0,,,,Lettieri sometimes orders 10-15 cases,,20163,CACIOTTA RUSTEGA WITH TRUFFLE 6 LBS,269381401,ETA 10/08,60,,,"1,437.55",Sep-27,
