sales_item_description,customers,usd_2024,usd_2025_ytd,best_match_sku,best_match_name,best_match_pack,confidence,tier,candidate_skus_same_name
CACIOTTA RUSTEGA WITH TRUFFLE  6 LB,TRADER JOE'S COMPANY,3425121.0,2114777.93,20150,Caciotta Rustiga with Truffle,TRUFFLE  (with black truffle)  6 lb,1.0,CONFIRMED,0
GRANA PADANO PDO 1/8 WHEEL,"ALTOMONTE; GORDON FOOD SERVICE HQ; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",355840.16,728801.6,05018,Grana Padano Riserva,"1/8 Wheel, vacuum packed minimum
16 months ageing",1.0,HIGH,12
BIANCO DURO CHEESE EU,SELECTED FOOD & BEVERAGE,11393.94,598805.88,20717,Bianco Duro d'Europa,"European hard cheese 1/4 wheels, vacuum packed",0.712,MEDIUM,1
CACIOTTA WITH HERBS 6 LBS (4 PCS),TRADER JOE'S COMPANY,0,254574.53,20228,Caciotta (Basket Rind),HERBS (with aromatic herbs) - 6 lb,0.636,MEDIUM,8
PARMIGIANO REGGIANO PDO 1/8 WHEEL,"ALTOMONTE; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",204471.67,208661.1,05025,Parmigiano Reggiano PDO,"Aged minimum 12 months 1/8 Wheel, vacuum packed",1.0,HIGH,4
PECORINO ROMANO PDO 1/4 WHEEL,"COW BELL LLC; SELECTED FOOD & BEVERAGE; TAMA TRADING COMPANY, INC",124287.57,145341.91,40104,Pecorino Romano DOP,"1/4 Wheel, vacuum packed",1.0,HIGH,3
PECORINO ROMANO PDO WHOLE WHEEL,"ALTOMONTE; COW BELL LLC; SAVORY CHEESE; TAMA TRADING COMPANY, INC",127807.34,96702.34,40103,Pecorino Romano DOP,"Whole Wheels vacuum packed
- 58 lbS Approx",1.0,HIGH,3
GRANA PADANO PDO RISERVA WHOLE WHEEL,ALTOMONTE; COW BELL LLC; SELECTED FOOD & BEVERAGE,60293.1,91192.66,05411,Grana Padano Riserva,"RISERVA AGED MIN. 20 MONTHS
Whole Wheel, 66-77 lbs",1.0,HIGH,12
GRANA PADANO PDO WHOLE WHEEL,ACE ENDICO; ALTOMONTE; COW BELL LLC; SAVORY CHEESE; SELECTED FOOD & BEVERAGE,52973.87,86664.93,05095,Grana Padano Riserva,"TRENTIN GRANA                     AGED MIN. 20 MONTHS          Whole
Wheel, 66-77 lbs",1.0,HIGH,12
PARMIGIANO REGGIANO PDO WHOLE WHEEL,COW BELL LLC; SAVORY CHEESE; SELECTED FOOD & BEVERAGE,44645.59,61233.42,05033,Parmigiano Reggiano PDO,"Aged minimum 24 months
Whole Wheel, 66-77 lbs",1.0,HIGH,4
AGED TRUFFLE CHEESE,BALDOR; GFI; SAVORY CHEESE; SELECTED FOOD & BEVERAGE,29105.57,26156.85,20533,Fioretto Stagionato with Truffle,"Whole Wheels vacuum packed - 4,4 lb",1.0,CONFIRMED,0
BIANCO D'ITALIA 1/4 WHEEL,ACE ENDICO; COW BELL LLC; SELECTED FOOD & BEVERAGE,119187.3,20837.64,20569,Bianco Duro d'Italia,"Italian hard cheese 1/4 wheels, vacuum packed",0.904,HIGH,1
ALPEGGIO AGED CHEESE WHOLE WHEEL,ACE ENDICO; COW BELL LLC; MUSCO; SAVORY CHEESE,3846.86,20314.2,20724,Alpeggio Cheese,"Whole Wheel, 16-18 lbs",1.0,HIGH,1
